title,summary,link,author
Woman pleads guilty in Detroit-area election threats case,"DETROIT (AP) — A New Hampshire woman pleaded guilty in federal court Thursday to texting threats to a Detroit-area election official after a November 2020 meeting to certify local results in the presidential race.
Katelyn Jones, 25, formerly of Olivet, Michigan, and now living in Epping New Hampshire, faces up to 10 years in federal prison.
Jones targeted Monica Palmer, the Republican chairwoman of the Wayne County Board of Canvassers, and her family, investigators said.
Jones sent photos of a dead body and threatened Palmer on Nov. 18, the FBI said.
They subsequently certified the totals in favor of Joe Biden after people watching the public meeting on video conference criticized them during a comment period.",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2ZlZGVyYWwtZ3VpbHR5LXBsZWEtZWxlY3Rpb24tdGhyZWF0LTIwMjAtbWljaGlnYW4tbmV3LWhhbXBzaGlyZS1jNzYxMjdkZGFhNzRkNjE1OGEyMjRkYjgwMTAyMmVlMdIBAA?oc=5,[]
Twitter seeks to sublease NYC office space as Elon Musk cuts costs,"Inc. is seeking to sublease office space as the technology company looks to curb costs.
A spokesperson for Pacific Investment Management Co.’s Columbia Property Trust, the owner of the building, declined to comment.
The company has slashed jobs and been accused of missing rent payments on offices in San Francisco and London.
Subleasing the space could help Twitter reduce costs, given most property contracts require tenants to pay rent for the life of a lease even if the space isn’t occupied.
The 17th Street buildings were among a handful of properties tied up in a recent default by Pimco’s Columbia Property Trust.",https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5idXNpbmVzcy1zdGFuZGFyZC5jb20vYXJ0aWNsZS9pbnRlcm5hdGlvbmFsL3R3aXR0ZXItc2Vla3MtdG8tc3VibGVhc2UtbnljLW9mZmljZS1zcGFjZS1hcy1lbG9uLW11c2stY3V0cy1jb3N0cy0xMjMwMzAxMDAxMTRfMS5odG1s0gEA?oc=5,['Natalie Wong']
Ukraine official: Forces may pull out of key city of Bakhmut – KION546,"Kremlin forces have waged a bloody, monthslong offensive to take Bakhmut, a city of salt and gypsum mines in eastern Ukraine that has become a ghost town.
Bakhmut lies in Donetsk province, one of four provinces Russia illegally annexed last fall.
To take the remaining half of that province, Russian forces must go through Bakhmut, the only approach to bigger Ukrainian-held cities since Ukrainian troops took back Izium in Kharkiv province in September.
Rodnyansky noted that Russia was using the Wagner Group’s best troops to try to encircle the city.
“The Ukrainian army is deploying additional troops and is doing what it can to retain control of the city,” Prigozhin said.",https://news.google.com/rss/articles/CBMiXmh0dHBzOi8va2lvbjU0Ni5jb20vbmV3cy8yMDIzLzAzLzAxL3VrcmFpbmUtb2ZmaWNpYWwtc2F5cy1taWxpdGFyeS1tYXktcHVsbC1iYWNrLWZyb20tYmFraG11dC_SAQA?oc=5,['Associated Press']
NFL coach Brian Flores' discrimination case going to court,"The league had tried to move the Flores claims to arbitration, citing contracts that coaches had signed.
Flores sued the league and three teams a year ago, saying the league was “rife with racism,” particularly in its hiring and promotion of Black coaches.
“We are pleased that Coach Flores’ class claims of systematic discrimination against the NFL and several teams will proceed in court and ultimately before a jury of his peers,” attorney Douglas Wigdor said in an email.
In her opinion, Caproni said the case had shined “an unflattering spotlight on the employment practices of National Football League” teams.
“Although the clear majority of professional football players are Black, only a tiny percentage of coaches are Black,” she wrote.",https://news.google.com/rss/articles/CBMiaGh0dHBzOi8vd3d3Lm15c2FuYW50b25pby5jb20vc3BvcnRzL2FydGljbGUvanVkZ2UtbmZsLWNvYWNoLWNhbi1wcmVzcy1kaXNjcmltaW5hdGlvbi1jbGFpbXMtMTc4MTM3MzEucGhw0gEA?oc=5,"['Larry Neumeister', 'Associated Press']"
Brazil Legend Ronaldo Nazario Names His All Time Best XI As Lionel Messi Makes Cut,"Ronaldo Nazario has revealed his all-time best XI featuring legendary football starsThe ex-Brazil international overlooked Cristiano Ronaldo and included Lionel MessiMessi was recently crowned the best men's player of 2022 at FIFA's The Best AwardsBrazil football icon, Ronaldo Nazario has revealed his all-time best XI.
Messi's inclusion in Ronaldo's team came after the Argentine was named the FIFA Men's Best Player 2022 on Monday night in Paris.
Ronaldo names all-time best XIWhile Messi being named in Ronaldo's all-time best XI is no surprise, it is perhaps surprising that the Brazilian also chose himself for the team.
Ronaldo's XI in full: Buffon, Cafu, Beckenbauer, Maldini, Carlos, Zico, Diego Maradona, Messi, Ronaldo Nazario, Pele, Ronaldinho.
Ronaldinho makes return to footballSports Brief previously reported Brazilian football legend, Ronaldinho making a stunning return to football.",https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vc3BvcnRzYnJpZWYuY29tL2Zvb3RiYWxsLzM1NTk0LWJyYXppbC1sZWdlbmQtcm9uYWxkby1uYXphcmlvLW5hbWVzLXRpbWUteGktbGlvbmVsLW1lc3NpLWN1dC_SAQA?oc=5,['Fred Kennedy']
Brisk daily walk could prevent one in 10 early deaths – study,"PARIS: One in 10 early deaths could be prevented if everyone engaged in a small amount of daily exercise such as a brisk 11-minute walk, a large study said on Wednesday.
Physical activity is known to reduce the risk of heart disease, cancer and other leading causes of death, but exactly how much is needed to have an impact has been unclear.
For a person who engages in little to no physical activity, 11 minutes a day led to a 23-percent lower risk of early death.
Soren Brage, an expert on the epidemiology of physical activity at Britain's Cambridge University and a co-author of the study, told Agence France-Presse that it was ""exceptionally good news.""
Cardiovascular diseases such as heart attack and stroke killed 17.9 million people globally in 2019, while cancer accounted for nearly 10 million deaths the following year, according to the World Health Organization.",https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3Lm1hbmlsYXRpbWVzLm5ldC8yMDIzLzAzLzAxL25ld3MvYnJpc2stZGFpbHktd2Fsay1jb3VsZC1wcmV2ZW50LW9uZS1pbi0xMC1lYXJseS1kZWF0aHMtc3R1ZHkvMTg4MDgyOdIBAA?oc=5,['Agence France-Presse']
World's Leading Award for Animal Conservation Names Six Finalists,"A nine-person committee with ties to the scientific and conservation communities, the Indianapolis Zoological society and local community selected the six Finalists for the 2023 Indianapolis Prize.
The Winner of the 2023 Indianapolis Prize will be announced on May 16 and will receive their award on Sept. 30 at the Indianapolis Prize Gala presented by Cummins Inc.
""The vital work of this year's Finalists to save animal species is inspiring,"" said 2021 and 2023 Indianapolis Prize Gala co-host Danni Washington.
Since 2006, the Indianapolis Prize has administered more than $5.6 million in cash awards.
The Indianapolis Prize is administered by the Indianapolis Zoological Society.",https://news.google.com/rss/articles/CBMiVmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy93b3JsZHMtbGVhZGluZy1hd2FyZC1hbmltYWwtY29uc2VydmF0aW9uLTExMDIwMDIyNC5odG1s0gEA?oc=5,[]
Football rumours: Newcastle eye move for Arsenal defender Kieran Tierney,"Kieran Tierney could be on his way to Newcastle (Steven Paston/PA) — © Steven PastonNewcastle are considering a summer move for Arsenal defender Kieran Tierney, according to the Mirror.
Social media round-upWe need your consent to load this Social Media content.
We use a number of different Social Media outlets to manage extra content that can set cookies on your device and collect data about your activity.
Please review your details and accept them to load the contentWe need your consent to load this Social Media content.
Sergej Milinkovic-Savic: Arsenal, Newcastle and West Ham have all made offers of around £25million for the Lazio midfielder.",https://news.google.com/rss/articles/CBMilwFodHRwczovL3d3dy5iZWxmYXN0dGVsZWdyYXBoLmNvLnVrL3Nwb3J0L2Zvb3RiYWxsL3ByZW1pZXItbGVhZ3VlL2Zvb3RiYWxsLXJ1bW91cnMtbmV3Y2FzdGxlLWV5ZS1tb3ZlLWZvci1hcnNlbmFsLWRlZmVuZGVyLWtpZXJhbi10aWVybmV5Lzg3NjAwNjM4MS5odG1s0gEA?oc=5,['Pa Sport Staff']
‘Dukes Of Hazzard’ Star John Schneider Reflects On Death Of Wife Alicia At 53,"John Schneider has opened up about his emotions after the death of his wife Alicia.
And the Dukes of Hazzard star, 62, shared that his wife’s passing at age 53 made him reflect on how much he loved her.
Learn what the the Dukes of Hazzard star shared about his wife.
John Schneider – Mourns Death Of Wife Alicia, 53Dukes of Hazzard star John Schneider, 62, mourns the passing of his wife, Alicia Allain.
“Please respect our privacy during this time of grief,” requested the Dukes of Hazzard star.",https://news.google.com/rss/articles/CBMie2h0dHBzOi8vY2VsZWJyYXRpbmd0aGVzb2Fwcy5jb20vY2VsZWJyaXR5LW5ld3MvZHVrZXMtb2YtaGF6emFyZC1zdGFyLWpvaG4tc2NobmVpZGVyLXJlZmxlY3RzLW9uLWRlYXRoLW9mLXdpZmUtYWxpY2lhLWF0LTUzL9IBAA?oc=5,['Joanne Eglash']
Kootenay pop singer Shawn Hook says he has throat cancer,"Shawn Hook is seen here performing in 2018.
File photoPop singer and South Slocan native Shawn Hook has announced he has throat cancer.
Hook, who was twice nominated for Juno Awards in 2013 and 2016, said in a Facebook post Tuesday that he was diagnosed with throat cancer on Jan. 31.
“As you can imagine, this was life changing news and it hit me like a ton of bricks,” wrote Hook.
“This is just the start of my battle and I’m taking it one day at a time.",https://news.google.com/rss/articles/CBMiX2h0dHBzOi8vd3d3LmNhbGVkb25pYWNvdXJpZXIuY29tL25ld3Mva29vdGVuYXktcG9wLXNpbmdlci1zaGF3bi1ob29rLXNheXMtaGUtaGFzLXRocm9hdC1jYW5jZXIv0gEA?oc=5,['Nelson Star Staff']
